,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,depth,depth,depth,depth,depth,depth,depth,depth,spatial_ref,spatial_ref,spatial_ref,spatial_ref,spatial_ref,spatial_ref,spatial_ref,spatial_ref,mlotst,mlotst,mlotst,mlotst,mlotst,mlotst,mlotst,mlotst,siconc,siconc,siconc,siconc,siconc,siconc,siconc,siconc,thetao,thetao,thetao,thetao,thetao,thetao,thetao,thetao,usi,usi,usi,usi,usi,usi,usi,usi,sithick,sithick,sithick,sithick,sithick,sithick,sithick,sithick,bottomT,bottomT,bottomT,bottomT,bottomT,bottomT,bottomT,bottomT,vsi,vsi,vsi,vsi,vsi,vsi,vsi,vsi,vo,vo,vo,vo,vo,vo,vo,vo,uo,uo,uo,uo,uo,uo,uo,uo,so,so,so,so,so,so,so,so,zos,zos,zos,zos,zos,zos,zos,zos
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-16 12:00:00,896.0,1.3869047590664454,0.6916058813809413,0.25,0.8124999850988388,1.375,1.9374999701976776,2.5833332538604736,896.0,104.9921875,1.2002354492543608,103.0,104.22916603088379,104.875,105.77083396911621,107.16666412353516,896.0,0.4940206706523895,4.3237391764705535e-06,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,11.648497581481934,0.8693585991859436,7.019257545471191,11.291849136352539,11.749626159667969,12.207404136657715,14.496293067932129,0.0,,,,,,,,172.0,30.156457901000977,0.11846929788589478,29.939481735229492,30.10245132446289,30.12552261352539,30.15005874633789,30.633838653564453,0.0,,,,,,,,0.0,,,,,,,,172.0,29.04259490966797,1.2439725399017334,23.522537231445312,28.844478607177734,29.356456756591797,29.780723571777344,30.496871948242188,0.0,,,,,,,,172.0,-0.17701086401939392,0.14469566941261292,-0.3570665717124939,-0.3006073236465454,-0.2063051164150238,-0.07065035402774811,0.25696584582328796,172.0,0.013765267096459866,0.10294684767723083,-0.365001380443573,-0.013580736704170704,0.03875850886106491,0.07995849847793579,0.19409772753715515,172.0,32.849952697753906,0.18314024806022644,32.06121826171875,32.82113265991211,32.901241302490234,32.95121765136719,33.056121826171875,172.0,0.7715944051742554,0.03525189682841301,0.6225776076316833,0.769600510597229,0.7800530791282654,0.787453830242157,0.8017212152481079
2018-11-16 00:00:00,806.0,0.8846153846153846,0.7607565953210635,-0.25,0.25,0.7916666567325592,1.5833333730697632,2.4166667461395264,806.0,105.41129032258064,1.0753716992556897,103.5,104.58333587646484,105.66666412353516,106.33333587646484,107.08333587646484,806.0,0.49402090907096863,4.08545338359545e-06,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,12.347912788391113,1.5000216960906982,10.528885841369629,11.139256477355957,11.90221881866455,13.275551795959473,16.785181045532227,0.0,,,,,,,,101.0,30.079017639160156,0.20396046340465546,29.818628311157227,29.932889938354492,30.026641845703125,30.16946792602539,30.71440887451172,0.0,,,,,,,,0.0,,,,,,,,101.0,29.339855194091797,1.142492651939392,25.68764305114746,28.97998046875,29.715354919433594,30.041290283203125,30.72759246826172,0.0,,,,,,,,101.0,-0.2534184157848358,0.16678805649280548,-0.5475020408630371,-0.39429914951324463,-0.2862636148929596,-0.08850367367267609,0.06164738908410072,101.0,0.13458965718746185,0.12505333125591278,-0.16174809634685516,0.017090365290641785,0.14404736459255219,0.23438215255737305,0.41688284277915955,101.0,32.40021514892578,0.2855343818664551,31.412702560424805,32.19855499267578,32.53578186035156,32.57851028442383,32.737205505371094,101.0,0.7909699082374573,0.02091646008193493,0.730002760887146,0.7843257188796997,0.790734589099884,0.7989745736122131,0.8316293954849243
2018-12-16 12:00:00,289.0,1.4166666619917925,0.4089564313558641,0.75,1.0833333730697632,1.4166666269302368,1.75,2.0833332538604736,289.0,104.66666681626263,0.4089565324484348,104.0,104.33333587646484,104.66666412353516,105.0,105.33333587646484,289.0,0.4940250515937805,5.970803584887108e-08,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,14.297077178955078,3.2583160400390625,7.019257545471191,12.207404136657715,14.038515090942383,16.785181045532227,21.362958908081055,0.0,,,,,,,,108.0,29.61581802368164,0.22408907115459442,29.313241958618164,29.455886840820312,29.615375518798828,29.706565856933594,30.32328224182129,0.0,,,,,,,,0.0,,,,,,,,108.0,29.413423538208008,0.3080446422100067,28.917722702026367,29.20374298095703,29.345104217529297,29.594501495361328,30.32108497619629,0.0,,,,,,,,108.0,-0.44106602668762207,0.19885855913162231,-0.7281716465950012,-0.575426459312439,-0.5294961929321289,-0.2949613928794861,-0.01831110566854477,108.0,0.14601977169513702,0.20757503807544708,-0.4766991138458252,0.10452589392662048,0.21820734441280365,0.26551103591918945,0.5157628059387207,108.0,31.696985244750977,0.5000699162483215,30.69399070739746,31.27765655517578,31.71559715270996,32.13064956665039,32.53730773925781,108.0,0.8487614393234253,0.015544230118393898,0.7843257188796997,0.8376567959785461,0.8484145402908325,0.8619189858436584,0.8749656677246094
2019-01-16 12:00:00,625.0,0.9300000008940696,0.7447136822993948,-0.3333333432674408,0.25,1.0,1.5,2.1666667461395264,625.0,104.6533334350586,1.1694295961054912,103.0,103.91666412353516,104.41666412353516,105.08333587646484,106.83333587646484,625.0,0.49402159452438354,3.4001859603449702e-06,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,0.49402499198913574,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,18.50303077697754,7.013529300689697,7.019257545471191,13.580737113952637,17.24295997619629,23.194068908691406,33.87554931640625,0.0,,,,,,,,97.0,29.041812896728516,0.34884336590766907,28.455549240112305,28.8019962310791,28.921384811401367,29.23853302001953,29.936552047729492,0.0,,,,,,,,0.0,,,,,,,,97.0,28.934494018554688,0.3968793451786041,27.86959457397461,28.71117401123047,28.8290958404541,29.135990142822266,29.807641983032227,0.0,,,,,,,,97.0,-0.19566456973552704,0.26155149936676025,-0.556047260761261,-0.39918211102485657,-0.2941984236240387,-0.02685628831386566,0.3729361891746521,97.0,-0.1132960394024849,0.27610254287719727,-0.6482131481170654,-0.3326517641544342,-0.0012207403779029846,0.11535996198654175,0.33753472566604614,97.0,31.923015594482422,0.4875544309616089,31.13040542602539,31.56224250793457,31.77892303466797,32.158878326416016,32.941680908203125,97.0,0.8477700352668762,0.12839233875274658,0.573747992515564,0.8099612593650818,0.9112827181816101,0.9292886257171631,0.9598070979118347
